slidename,mu1,mu2,mu3,sigma1,sigma2,sigma3
TCGA-BR-4370-01Z-00-DX1.a221ca0e-5055-41c3-97a5-d8b9ff847e45.svs,8.692598006965293,-0.09971756414020198,0.04747787388333349,0.3995518218723538,0.11224434597351234,0.03405328401730522
TCGA-BR-4294-01Z-00-DX1.247c5447-23e3-4620-a981-19d5f572235a.svs,8.743426504743686,-0.2132799784962447,0.039699258817435044,0.37417644035541964,0.14284256372201865,0.02015877152786891
TCGA-BR-4363-01Z-00-DX1.d2121987-481e-4f39-8cb3-724a9fc18036.svs,8.317437045641942,-0.33453318182347963,0.08239769358174523,0.41411370050232743,0.17048685329032973,0.031159876875127706
TCGA-BR-4188-01Z-00-DX1.34ff2bf8-cd91-4f50-a38a-8e3c3693537f.svs,8.79590534725926,-0.09848992187028688,0.04971258834461972,0.40379784221535503,0.10528131073568807,0.03283550360961711
TCGA-BR-4367-01Z-00-DX1.1f8d0290-2ea8-447c-a8a9-4d83be6f242f.svs,8.803718343962895,-0.08667556805824482,0.05781903969356728,0.2802234719699063,0.07831128749897577,0.02563484407743272
TCGA-BR-4369-01Z-00-DX1.69000607-7c5c-4a97-bdc1-f5a4fdfdd39c.svs,8.774836747660013,-0.06289336685471028,0.0714055295836792,0.3916859610983818,0.09210470386797798,0.03898730168633879
TCGA-BR-4371-01Z-00-DX1.b45af289-5e56-40dd-80ba-7b8752d0344e.svs,8.467179646704482,-0.16403076348814616,0.09349369384618574,0.3880091649471352,0.15210965503621776,0.031946093338539774
TCGA-BR-7703-01Z-00-DX1.405deaeb-de87-480f-b676-3657d92d1f68.svs,8.574632971498222,-0.029328780267856142,0.06153611011594314,0.5608730389964283,0.16337246168215447,0.054963629430094404
TCGA-BR-8363-01Z-00-DX1.eeecad72-b281-4e28-be60-4542b4a275aa.svs,8.027805011610775,-0.1408477066217729,0.08445655770502782,0.6453428930090009,0.15904635279084853,0.03170278224936332
TCGA-BR-8060-01Z-00-DX1.6193aa89-3c4a-445a-ba2f-7eeea7f01cbe.svs,8.16772833835416,-0.10999234426875099,0.06919552269398767,0.8079459507879398,0.14825611575099384,0.044341286802196636
TCGA-BR-7717-01Z-00-DX1.caf061b5-c58d-4f32-a49c-383003fb4f57.svs,8.74255343450143,-0.025276062304074056,0.05124400146029382,0.5039599464648545,0.11448421066748148,0.05179262161989866
TCGA-BR-8059-01Z-00-DX1.b877e3e3-cde8-4a00-b2dc-53db8bc25d53.svs,8.331866374479864,-0.05164484786977635,0.08482119596106968,0.644028271626734,0.13281291533754624,0.05427155342266667
TCGA-BR-8679-01Z-00-DX1.2aa8a10d-4b62-479b-bea8-6c48428a888a.svs,8.511720346208286,-0.04573046815648164,0.07156548764901925,0.5643143158230548,0.10788447606112675,0.03345858624125799
TCGA-BR-8678-01Z-00-DX1.b6b8888f-c3e6-4466-a13b-8434ff5b3a30.svs,8.353420162421594,-0.112066597228083,0.06730443902446005,0.5971921872599072,0.12056926321467716,0.027995140149224235
TCGA-BR-7715-01Z-00-DX1.30aff8b3-bb1b-4aff-9f6b-2dde40122359.svs,8.552075305121447,-0.059997049396775935,0.044625638763336535,0.6352673329413485,0.11115175950911135,0.04834244143299193
TCGA-BR-A44T-01Z-00-DX1.46AA24E7-F2C9-418B-90AA-D6DA2896F5DE.svs,8.749170312966312,-0.04167133150216466,0.05781269018642319,0.4745168020653675,0.11160246937043093,0.030724463117043445
TCGA-BR-8588-01Z-00-DX1.34ca86de-a957-4cf7-9337-de0bba1844bc.svs,8.892008206950324,-0.03711138213627502,0.03986374169705357,0.36402890040012204,0.07092180123329395,0.021383501152036834
TCGA-BR-8591-01Z-00-DX1.c64ee000-b80d-46dd-b347-7aa8ce3b6113.svs,8.738473838620239,-0.07020800328973208,0.044186069966389005,0.42097779886059417,0.08772726784773345,0.024023723207902744
TCGA-BR-6803-01Z-00-DX1.0704a32a-4a03-4c67-96ad-4888ea899c70.svs,8.64780328155645,-0.038772314594202856,0.059469251162018726,0.47149739264619195,0.09005023733597338,0.0353876614860129
TCGA-BR-8081-01Z-00-DX1.c6c1ef86-9aad-463e-a64a-f1a2dbe465dc.svs,8.40848946097535,-0.10878716673722359,0.057435284566299864,0.6208880225068012,0.1164594353206301,0.04198926558805198
TCGA-BR-8485-01Z-00-DX1.863bea72-3bd3-4f07-bbc9-e00d17ae39f7.svs,8.485270632273927,-0.08807471667456405,0.06356352105175717,0.5753741885134184,0.11564709651170048,0.02927192722574571
TCGA-BR-7197-01Z-00-DX1.a8ee53be-925d-4922-b670-74b09f405dd3.svs,8.496548943960049,-0.029005058950260287,0.07998030556775353,0.5433370531716021,0.12497860909292952,0.045901222687979165
TCGA-BR-6453-01Z-00-DX1.2e52d64c-e34f-47a9-9e5e-8954b5ef18ca.svs,8.748909676683196,-0.05031834987010181,0.05270558905227901,0.4540451352183022,0.07993235203224767,0.026852476835391683
TCGA-BR-8295-01Z-00-DX1.9c19a25e-dcf2-41b4-b726-2f09ae7c38f6.svs,8.47641054040375,-0.09665227291526403,0.06267594863974478,0.5357732185501557,0.12171083618045797,0.03535003409447999
TCGA-BR-7958-01Z-00-DX1.41f7c42e-6266-49d7-bdb6-66771033961f.svs,8.135312635196483,-0.11826935975741124,0.06895475737719306,0.7469455481250424,0.21316020970557314,0.05172420774766863
TCGA-BR-6706-01Z-00-DX1.8627a957-8d44-47ec-9156-53ccc37b9add.svs,8.213230424405248,-0.11107978740660411,0.0642745259884146,0.6554003156175541,0.16144794035090357,0.04816571966578158
TCGA-BR-8365-01Z-00-DX1.0cf05858-a4a5-468e-aa62-d3e3e91eab4a.svs,8.691164439364055,-0.03247301077215257,0.06286993120390508,0.4166111841746868,0.08505652154203201,0.028680732184204773
TCGA-BR-8289-01Z-00-DX1.3fd11755-cb87-40fe-92e2-0ccc55aefa0d.svs,8.536495206326853,-0.08818501545329185,0.05391999747392897,0.5766434069069573,0.1299019440978863,0.04279134402481175
TCGA-BR-6801-01Z-00-DX1.7d2aaa44-16f0-4526-87f2-6e95cdb5df3b.svs,8.478256800648607,-0.04929757490205488,0.0743129793351635,0.5023606575194479,0.10176501471617579,0.04238595137337417
TCGA-BR-8367-01Z-00-DX1.25d1e251-923d-46f5-9a6b-2f6207def599.svs,8.294798983814298,-0.07482870431114644,0.08098279193145874,0.5669169498478415,0.12282553336029853,0.031999438620894737
